"spf_h0","spf_h1","spf_h2","spf_h3","spf_h4","ref_period","rgdp","target_quarter","target_year","origin_year","origin_month","origin_day","gdp_growth","origin_date","IQR_h0","IQR_h1","IQR_h2","IQR_h3","IQR_h4","EUP"
1.55075251593787,1.68147949273381,1.59446153039789,1.28661936412297,0.980634125891468,2015 Q4,2275397.6,4,2015,2016,2,12,1.07226113882126,2016-02-01,0.0969856555413751,0.126271395846552,0.143842840029647,0.152628562121205,0.155557136151723,158.884055427118
1.45521480303793,1.59254641100175,1.71567829878575,1.62582946361545,1.34702288222004,2016 Q1,2290136.3,1,2016,2016,4,29,2.22000251675092,2016-04-01,0.12022956321397,0.14348968789973,0.17073782945994,0.18268690885405,0.18939144905542,221.762138228153
2.05958142337677,1.5571408128496,1.61762274804008,1.73619758241692,1.64465022354598,2016 Q2,2299163.1,2,2016,2016,7,29,1.16053838466759,2016-07-01,0.0880574286002997,0.14591558073494,0.19232559384873,0.23220359495367,0.25157510123198,279.584489938203
1.23537140739506,1.93481244368123,1.63146237031897,1.63016091655924,1.7464572242325,2016 Q3,2320301.2,3,2016,2016,10,31,1.3696007959197,2016-10-01,0.103856568990385,0.18708123143231,0.24783848907207,0.284292843655925,0.302520020947855,290.147255592356
1.32664244691104,1.30441084738034,1.84229886034446,1.6829317114528,1.63434030606563,2016 Q4,2334585.1,4,2016,2017,1,31,2.01832602693919,2017-01-01,0.1330456725937,0.18141574694827,0.21043779156101,0.22494881386738,0.22978582130283,307.63005505221
1.47360608308771,1.37260039497089,1.35952972122551,1.77864395604664,1.71630107225784,2017 Q1,2346004.9,1,2017,2017,5,3,1.83256838686618,2017-05-01,0.0855294611554323,0.110011726972508,0.142290122432815,0.149006273639882,0.16289644640282,274.7202333341
1.77196298017272,1.50477697536033,1.4001751638068,1.3926010455326,1.74045101346795,2017 Q2,2362819.7,2,2017,2017,8,1,2.26358585525639,2017-08-01,0.0915958668675725,0.139620997670782,0.169298989223915,0.179629324957935,0.187578012838642,240.399588697922
1.92680773083414,1.72091153304189,1.53036687744967,1.41396254822475,1.40913670768615,2017 Q3,2389498.9,3,2017,2017,10,31,2.35901607912501,2017-10-01,0.0800660073598123,0.10703667138253,0.12248273860899,0.141463052012298,0.146478140629655,178.963426921999
2.25523010232747,1.88894480562559,1.68378436899943,1.55033050875911,1.41855834303074,2017 Q4,2409508.8,4,2017,2018,1,30,2.26518442478945,2018-01-01,0.0965423884330496,0.12671523577428,0.14481894417903,0.15387079838139,0.15688808311552,210.113346735478
2.25370408420944,2.15253747047177,1.86204114226283,1.65864685025086,1.56462258869201,2018 Q1,2421482.4,1,2018,2018,5,2,1.67089835301826,2018-05-01,0.143350374246928,0.184541105330175,0.225311320833765,0.2581712151847,0.298440724414448,169.058640590248
2.41796469052491,2.17141570003962,2.09092189135835,1.84589894424518,1.64356433900173,2018 Q2,2432598.7,2,2018,2018,7,31,1.39043502673315,2018-07-01,0.0952245860589902,0.124691535560682,0.147016146894547,0.160587255493308,0.168107213652237,202.637499058904
1.70635880868582,2.30615285269564,2.10139950880823,2.06011410180164,1.83782784523635,2018 Q3,2442969.3,3,2018,2018,10,30,0.621584523524055,2018-10-01,0.10915493222505,0.13887771593447,0.160304730016555,0.173562999283925,0.181727092067762,193.302582783269
1.65448613955627,1.76286631818065,2.21802347313022,2.04506420794465,2.04984483861607,2018 Q4,2447677.6,4,2018,2019,1,11,0.897669234411302,2019-01-01,0.09718548485496,0.12753066083504,0.14573776642309,0.15484131921711,0.15787583681512,250.979477104243
1.06781542631906,1.69699528051046,1.80320089066569,2.15445001443566,2.00381849487826,2019 Q1,2457078.9,1,2019,2019,4,30,1.52472842398756,2019-04-01,0.1234217265282,0.157146913346275,0.205037450896275,0.242234048006532,0.250993562689543,235.737651943427
1.10869703746801,1.21275334169965,1.72250076508297,1.82740163415672,2.11630593921892,2019 Q2,2464472.1,2,2019,2019,7,31,0.81027153828821,2019-07-01,0.0953995927517974,0.15499069873692,0.19007515552594,0.21645964480931,0.230134741968195,205.350508329784
1.45041994317994,1.19290970762567,1.31164183202617,1.73525350736923,1.83950200590223,2019 Q3,2469104.7,3,2019,2019,10,31,0.751358631556842,2019-10-01,0.13466016452538,0.192367937172427,0.245985214019855,0.27107894800779,0.28362581500176,250.63998402439
